"from"	"to"	"edge_creation_month"
19	8	"1"
19	58	"1"
84	86	"1"
83	58	"1"
36	60	"1"
86	48	"1"
87	63	"1"
36	88	"1"
87	8	"1"
36	89	"1"
90	56	"1"
36	90	"1"
36	84	"1"
91	92	"1"
36	93	"1"
91	92	"1"
36	90	"1"
91	92	"1"
36	60	"1"
36	84	"1"
51	58	"1"
94	84	"1"
36	84	"1"
94	84	"1"
94	84	"1"
69	84	"1"
69	95	"1"
87	8	"1"
3	84	"1"
3	84	"1"
48	86	"1"
84	8	"1"
91	81	"1"
96	88	"1"
8	84	"1"
84	8	"1"
91	47	"1"
97	98	"1"
98	97	"1"
97	98	"1"
48	97	"1"
99	8	"1"
99	8	"1"
97	48	"1"
100	101	"1"
102	97	"1"
97	48	"1"
97	102	"1"
101	100	"1"
48	58	"1"
97	48	"1"
103	72	"1"
103	58	"1"
104	59	"1"
104	59	"1"
103	72	"1"
105	56	"1"
106	72	"1"
105	61	"1"
105	8	"1"
105	33	"1"
105	107	"1"
105	81	"1"
44	102	"1"
36	105	"1"
36	104	"1"
34	108	"1"
34	109	"1"
36	110	"1"
111	112	"1"
34	58	"1"
36	113	"1"
36	109	"1"
79	109	"1"
114	105	"1"
101	115	"1"
56	90	"1"
56	105	"1"
56	68	"1"
29	58	"1"
87	58	"1"
44	116	"1"
44	117	"1"
44	117	"1"
44	79	"1"
80	58	"1"
96	32	"1"
118	100	"1"
119	120	"1"
119	120	"1"
120	119	"1"
120	75	"1"
119	120	"1"
120	119	"1"
119	58	"1"
74	73	"1"
118	120	"1"
121	108	"1"
72	106	"1"
44	92	"1"
26	122	"1"
44	79	"1"
1	123	"1"
96	124	"1"
125	126	"1"
36	104	"1"
44	79	"1"
44	79	"1"
36	124	"1"
36	127	"1"
36	128	"1"
44	79	"1"
44	129	"1"
44	116	"1"
9	120	"1"
79	58	"1"
36	109	"1"
124	109	"1"
36	109	"1"
124	61	"1"
124	72	"1"
36	109	"1"
36	112	"1"
124	85	"1"
85	124	"1"
32	130	"1"
36	112	"1"
124	85	"1"
72	124	"1"
124	8	"1"
131	30	"1"
99	126	"1"
103	72	"1"
103	72	"1"
103	63	"1"
103	117	"1"
103	72	"1"
131	30	"1"
69	95	"1"
69	124	"1"
69	79	"1"
132	30	"1"
36	99	"1"
36	133	"1"
36	60	"1"
36	134	"1"
36	133	"1"
36	81	"1"
103	72	"1"
103	135	"1"
133	135	"1"
135	133	"1"
36	133	"1"
103	135	"1"
19	52	"1"
133	135	"1"
103	135	"1"
103	135	"1"
135	133	"1"
133	135	"1"
36	133	"1"
36	133	"1"
36	133	"1"
9	109	"1"
9	109	"1"
62	136	"1"
96	32	"1"
137	138	"1"
96	137	"1"
19	120	"1"
44	90	"1"
96	137	"1"
137	138	"1"
19	139	"1"
44	60	"1"
44	88	"1"
44	102	"1"
44	90	"1"
19	111	"1"
44	90	"1"
9	32	"1"
44	90	"1"
44	90	"1"
103	63	"1"
103	72	"1"
38	86	"1"
140	105	"1"
103	72	"1"
38	86	"1"
38	101	"1"
38	101	"1"
38	101	"1"
103	101	"1"
38	101	"1"
103	101	"1"
38	61	"1"
75	120	"1"
38	81	"1"
44	141	"1"
44	141	"1"
44	74	"1"
44	127	"1"
124	135	"1"
140	124	"1"
19	82	"1"
19	82	"1"
19	82	"1"
105	56	"1"
19	82	"1"
124	135	"1"
105	58	"1"
105	63	"1"
19	82	"1"
105	61	"1"
105	135	"1"
124	135	"1"
71	72	"1"
135	124	"1"
9	32	"1"
63	105	"1"
72	71	"1"
142	58	"1"
124	135	"1"
124	135	"1"
143	32	"1"
144	99	"1"
144	105	"1"
144	121	"1"
9	109	"1"
103	109	"1"
103	63	"1"
103	63	"1"
103	109	"1"
48	81	"1"
95	81	"1"
145	48	"1"
95	63	"1"
145	95	"1"
95	109	"1"
145	95	"1"
145	48	"1"
145	95	"1"
145	48	"1"
145	48	"1"
95	109	"1"
96	48	"1"
95	109	"1"
96	95	"1"
96	95	"1"
96	48	"1"
96	95	"1"
105	144	"1"
105	63	"1"
6	146	"1"
44	60	"1"
44	105	"1"
63	95	"1"
44	32	"1"
114	105	"1"
34	109	"1"
36	105	"1"
36	109	"1"
36	147	"1"
44	32	"1"
19	120	"1"
9	136	"1"
9	148	"1"
9	149	"1"
9	150	"1"
9	151	"1"
9	152	"1"
9	153	"1"
9	58	"1"
9	58	"1"
9	135	"1"
9	22	"1"
9	8	"1"
9	154	"1"
9	121	"1"
1	135	"1"
3	155	"1"
36	109	"1"
3	155	"1"
30	132	"1"
3	58	"1"
68	56	"1"
36	156	"1"
131	30	"1"
101	51	"1"
101	34	"1"
9	8	"1"
36	73	"1"
96	95	"1"
9	76	"1"
9	8	"1"
9	157	"1"
19	158	"1"
9	58	"1"
9	32	"1"
44	129	"1"
105	135	"1"
105	129	"1"
44	129	"1"
44	129	"1"
44	129	"1"
51	101	"1"
1	159	"1"
44	74	"1"
44	129	"1"
160	72	"1"
129	8	"1"
36	147	"1"
36	109	"1"
36	105	"1"
36	129	"1"
9	8	"1"
34	101	"1"
161	162	"1"
163	72	"1"
32	164	"1"
58	8	"1"
32	58	"1"
41	76	"1"
41	120	"1"
41	132	"1"
41	165	"1"
41	166	"1"
41	157	"1"
41	167	"1"
41	168	"1"
41	169	"1"
41	134	"1"
56	68	"1"
41	56	"1"
56	154	"1"
56	170	"1"
56	171	"1"
56	172	"1"
103	101	"1"
51	157	"1"
32	130	"1"
8	58	"1"
8	164	"1"
103	63	"1"
103	173	"1"
67	154	"1"
32	26	"1"
96	163	"1"
9	58	"1"
41	56	"1"
9	20	"1"
9	165	"1"
9	61	"1"
103	109	"1"
32	155	"1"
32	109	"1"
32	174	"1"
175	50	"1"
103	85	"1"
124	109	"1"
164	8	"1"
103	63	"1"
38	128	"1"
103	63	"1"
103	63	"1"
19	109	"1"
103	63	"1"
103	63	"1"
161	164	"1"
161	164	"1"
38	109	"1"
41	63	"1"
103	63	"1"
176	63	"1"
41	63	"1"
176	63	"1"
41	63	"1"
161	63	"1"
103	63	"1"
41	63	"1"
176	63	"1"
41	63	"1"
161	63	"1"
103	63	"1"
32	164	"1"
176	63	"1"
41	63	"1"
176	63	"1"
41	63	"1"
161	63	"1"
103	63	"1"
41	177	"1"
41	177	"1"
164	178	"1"
164	177	"1"
32	175	"1"
32	177	"1"
176	63	"1"
164	179	"1"
41	63	"1"
32	179	"1"
41	63	"1"
41	63	"1"
41	63	"1"
41	63	"1"
161	63	"1"
96	164	"1"
41	63	"1"
41	177	"1"
41	177	"1"
41	63	"1"
41	177	"1"
41	63	"1"
161	63	"1"
32	177	"1"
41	177	"1"
32	177	"1"
41	177	"1"
41	63	"1"
41	180	"1"
32	177	"1"
41	63	"1"
161	63	"1"
41	177	"1"
41	180	"1"
177	32	"1"
41	63	"1"
41	177	"1"
180	177	"1"
180	177	"1"
180	181	"1"
41	177	"1"
180	182	"1"
41	180	"1"
41	90	"1"
41	63	"1"
32	177	"1"
41	180	"1"
41	63	"1"
41	177	"1"
177	180	"1"
177	180	"1"
177	32	"1"
41	180	"1"
41	177	"1"
41	180	"1"
32	177	"1"
41	63	"1"
183	184	"1"
41	63	"1"
177	32	"1"
32	177	"1"
41	177	"1"
177	32	"1"
175	32	"1"
32	177	"1"
32	175	"1"
41	168	"1"
175	32	"1"
41	168	"1"
41	177	"1"
177	32	"1"
63	174	"1"
174	63	"1"
63	174	"1"
174	63	"1"
41	168	"1"
41	177	"1"
32	175	"1"
63	174	"1"
174	63	"1"
41	168	"1"
9	32	"1"
41	177	"1"
63	174	"1"
32	177	"1"
175	32	"1"
32	175	"1"
41	168	"1"
41	177	"1"
41	168	"1"
41	168	"1"
63	155	"1"
174	63	"1"
41	177	"1"
177	32	"1"
41	168	"1"
175	32	"1"
63	174	"1"
174	63	"1"
63	174	"1"
41	168	"1"
41	177	"1"
41	177	"1"
32	175	"1"
41	177	"1"
175	32	"1"
175	32	"1"
32	175	"1"
41	177	"1"
41	168	"1"
174	63	"1"
63	174	"1"
41	168	"1"
41	168	"1"
41	177	"1"
41	168	"1"
41	177	"1"
174	63	"1"
63	174	"1"
41	168	"1"
41	177	"1"
41	177	"1"
41	177	"1"
41	177	"1"
9	32	"1"
41	177	"1"
41	185	"1"
41	168	"1"
185	147	"1"
185	32	"1"
41	185	"1"
41	177	"1"
32	185	"1"
186	185	"1"
140	185	"1"
155	32	"1"
32	155	"1"
185	186	"1"
155	63	"1"
41	177	"1"
103	177	"1"
187	186	"1"
185	97	"1"
103	97	"1"
187	186	"1"
41	185	"1"
41	185	"1"
41	186	"1"
41	185	"1"
41	186	"1"
185	63	"1"
41	168	"1"
187	186	"1"
63	155	"1"
63	185	"1"
103	58	"1"
103	63	"1"
187	186	"1"
103	188	"1"
189	175	"1"
189	175	"1"
140	185	"1"
187	186	"1"
185	109	"1"
140	185	"1"
189	8	"1"
102	97	"1"
140	185	"1"
41	86	"1"
41	188	"1"
101	100	"1"
101	190	"1"
191	175	"1"
101	190	"1"
101	190	"1"
101	190	"1"
101	190	"1"
103	192	"1"
101	190	"1"
101	190	"1"
101	190	"1"
101	190	"1"
101	190	"1"
101	190	"1"
101	190	"1"
101	190	"1"
193	149	"1"
101	100	"1"
193	190	"1"
191	78	"1"
101	190	"1"
101	190	"1"
190	109	"1"
101	190	"1"
193	190	"1"
109	124	"1"
103	109	"1"
103	190	"1"
103	109	"1"
103	109	"1"
41	192	"1"
194	149	"1"
194	195	"1"
176	20	"1"
176	61	"1"
176	149	"1"
176	120	"1"
176	132	"1"
176	86	"1"
176	97	"1"
176	72	"1"
176	58	"1"
176	8	"1"
176	196	"1"
176	197	"1"
176	198	"1"
176	199	"1"
176	200	"1"
176	190	"1"
176	192	"1"
176	201	"1"
176	188	"1"
176	202	"1"
176	185	"1"
176	203	"1"
176	180	"1"
176	181	"1"
176	177	"1"
176	184	"1"
176	175	"1"
176	166	"1"
204	205	"1"
204	104	"1"
204	184	"1"
189	144	"1"
3	185	"1"
3	32	"1"
199	58	"1"
63	185	"1"
63	199	"1"
63	184	"1"
199	101	"1"
194	199	"1"
194	206	"1"
194	207	"1"
204	123	"1"
121	191	"1"
175	191	"1"
204	129	"1"
63	199	"1"
101	184	"1"
101	208	"1"
63	46	"1"
63	199	"1"
101	88	"1"
191	121	"1"
191	175	"1"
103	177	"1"
199	20	"1"
184	101	"1"
103	132	"1"
199	209	"1"
101	184	"1"
36	105	"1"
103	210	"1"
36	209	"1"
184	101	"1"
209	199	"1"
199	209	"1"
199	210	"1"
101	184	"1"
184	101	"1"
176	101	"1"
68	101	"1"
32	198	"1"
211	101	"1"
212	209	"1"
211	213	"1"
211	93	"1"
211	85	"1"
189	199	"1"
214	215	"1"
103	109	"1"
103	215	"1"
103	82	"1"
44	214	"1"
103	215	"1"
63	199	"1"
63	199	"1"
103	215	"1"
103	215	"1"
103	168	"1"
214	109	"1"
215	67	"1"
103	215	"1"
214	215	"1"
41	215	"1"
41	216	"1"
103	127	"1"
215	62	"1"
214	109	"1"
176	217	"1"
176	216	"1"
176	218	"1"
103	109	"1"
219	124	"1"
19	109	"1"
63	127	"1"
88	101	"1"
103	168	"1"
103	56	"1"
63	127	"1"
103	56	"1"
214	56	"1"
214	56	"1"
63	127	"1"
51	215	"1"
19	175	"1"
19	109	"1"
44	214	"1"
215	51	"1"
44	214	"1"
19	215	"1"
19	215	"1"
103	175	"1"
44	214	"1"
19	215	"1"
103	175	"1"
214	175	"1"
51	215	"1"
19	215	"1"
214	215	"1"
215	51	"1"
19	215	"1"
96	95	"1"
96	32	"1"
19	215	"1"
96	164	"1"
103	215	"1"
103	215	"1"
19	215	"1"
144	185	"1"
103	168	"1"
220	214	"1"
220	32	"1"
19	215	"1"
144	32	"1"
103	175	"1"
103	175	"1"
175	214	"1"
103	175	"1"
103	175	"1"
103	175	"1"
176	221	"1"
103	98	"1"
3	32	"1"
222	120	"1"
41	222	"1"
41	222	"1"
41	223	"1"
214	175	"1"
41	97	"1"
41	134	"1"
51	215	"1"
36	222	"1"
36	221	"1"
212	66	"1"
96	224	"1"
175	214	"1"
214	175	"1"
225	223	"1"
36	221	"1"
36	214	"1"
176	223	"1"
176	226	"1"
221	161	"1"
36	221	"1"
44	226	"1"
221	161	"1"
36	221	"1"
221	161	"1"
56	214	"1"
221	161	"1"
221	161	"1"
221	161	"1"
161	221	"1"
36	221	"1"
36	214	"1"
221	161	"1"
204	221	"1"
227	26	"1"
211	228	"1"
214	101	"1"
229	230	"1"
220	214	"1"
96	231	"1"
96	232	"1"
103	221	"1"
103	20	"1"
103	86	"1"
220	214	"1"
220	214	"1"
103	66	"1"
212	66	"1"
124	109	"1"
103	185	"1"
212	6	"1"
103	185	"1"
103	8	"1"
63	202	"1"
63	185	"1"
103	93	"1"
63	185	"1"
9	233	"1"
103	233	"1"
9	97	"1"
9	190	"1"
166	234	"1"
69	34	"1"
69	34	"1"
235	191	"1"
69	185	"1"
41	166	"1"
41	32	"1"
3	32	"1"
3	132	"1"
1	30	"1"
41	32	"1"
41	173	"1"
103	166	"1"
63	127	"1"
63	199	"1"
103	166	"1"
63	92	"1"
97	228	"1"
97	228	"1"
103	58	"1"
191	136	"1"
32	58	"1"
131	30	"1"
191	236	"1"
32	237	"1"
9	235	"1"
101	34	"1"
237	32	"1"
97	191	"1"
48	81	"1"
48	81	"1"
175	214	"1"
176	233	"1"
9	101	"1"
48	52	"1"
48	52	"1"
48	175	"1"
52	48	"1"
48	52	"1"
9	177	"1"
97	191	"1"
9	175	"1"
52	48	"1"
175	48	"1"
96	48	"1"
41	32	"1"
9	175	"1"
41	174	"1"
9	175	"1"
48	175	"1"
12	175	"1"
48	52	"1"
175	48	"1"
48	175	"1"
12	175	"1"
12	168	"1"
12	175	"1"
52	48	"1"
175	48	"1"
48	52	"1"
12	81	"1"
12	175	"1"
48	175	"1"
175	48	"1"
12	175	"1"
48	175	"1"
12	175	"1"
52	48	"1"
48	52	"1"
12	175	"1"
175	48	"1"
52	48	"1"
12	175	"1"
48	52	"1"
12	175	"1"
48	175	"1"
12	175	"1"
175	48	"1"
52	48	"1"
12	175	"1"
12	175	"1"
12	175	"1"
220	214	"1"
12	175	"1"
88	220	"1"
48	175	"1"
48	52	"1"
12	175	"1"
175	48	"1"
52	48	"1"
9	175	"1"
48	175	"1"
12	175	"1"
12	175	"1"
175	48	"1"
12	175	"1"
9	175	"1"
48	175	"1"
12	175	"1"
48	52	"1"
9	175	"1"
175	48	"1"
9	209	"1"
12	175	"1"
48	175	"1"
103	66	"1"
103	52	"1"
12	175	"1"
103	66	"1"
175	48	"1"
52	48	"1"
103	66	"1"
12	175	"1"
12	175	"1"
48	52	"1"
48	175	"1"
175	48	"1"
48	175	"1"
48	175	"1"
9	175	"1"
9	209	"1"
175	48	"1"
175	48	"1"
220	48	"1"
9	175	"1"
48	175	"1"
144	185	"1"
175	48	"1"
220	48	"1"
48	175	"1"
144	222	"1"
220	48	"1"
175	48	"1"
220	48	"1"
220	48	"1"
48	175	"1"
220	48	"1"
175	48	"1"
48	175	"1"
220	48	"1"
175	48	"1"
144	195	"1"
48	175	"1"
191	237	"1"
220	48	"1"
175	48	"1"
220	48	"1"
48	175	"1"
220	95	"1"
95	168	"1"
220	48	"1"
176	198	"1"
220	95	"1"
191	175	"1"
220	95	"1"
176	201	"1"
175	48	"1"
175	191	"1"
191	175	"1"
48	175	"1"
175	191	"1"
175	48	"1"
191	175	"1"
144	88	"1"
175	191	"1"
220	48	"1"
191	175	"1"
175	191	"1"
144	238	"1"
191	175	"1"
175	191	"1"
220	95	"1"
239	175	"1"
144	240	"1"
239	175	"1"
239	236	"1"
220	95	"1"
220	48	"1"
220	95	"1"
12	90	"1"
220	95	"1"
144	23	"1"
220	95	"1"
3	132	"1"
220	95	"1"
220	95	"1"
220	95	"1"
103	52	"1"
144	32	"1"
220	48	"1"
144	48	"1"
36	222	"1"
220	95	"1"
88	144	"1"
220	95	"1"
220	95	"1"
220	95	"1"
144	48	"1"
220	48	"1"
144	48	"1"
220	95	"1"
220	95	"1"
220	48	"1"
9	144	"1"
144	241	"1"
103	144	"1"
9	216	"1"
194	242	"1"
194	199	"1"
194	209	"1"
194	182	"1"
32	144	"1"
32	243	"1"
204	241	"1"
63	127	"1"
227	144	"1"
194	209	"1"
168	95	"1"
63	127	"1"
44	214	"1"
41	32	"1"
9	244	"1"
245	191	"1"
228	97	"1"
211	228	"1"
211	246	"1"
19	52	"1"
233	88	"1"
34	242	"1"
19	233	"1"
127	63	"1"
143	32	"1"
143	95	"1"
9	235	"1"
9	177	"1"
63	127	"1"
32	88	"1"
211	233	"1"
88	32	"1"
32	88	"1"
247	248	"1"
248	247	"1"
176	248	"1"
176	248	"1"
211	232	"1"
88	32	"1"
176	248	"1"
176	63	"1"
32	88	"1"
249	63	"1"
41	250	"1"
41	248	"1"
95	168	"1"
41	251	"1"
34	242	"1"
176	72	"1"
44	88	"1"
103	177	"1"
103	86	"1"
12	168	"1"
51	86	"1"
212	252	"1"
176	63	"1"
41	97	"1"
168	95	"1"
249	63	"1"
212	34	"1"
212	252	"1"
176	63	"1"
212	252	"1"
176	63	"1"
212	34	"1"
249	63	"1"
212	34	"1"
103	63	"1"
144	247	"1"
204	51	"1"
103	63	"1"
101	208	"1"
212	34	"1"
212	252	"1"
53	253	"1"
9	251	"1"
164	8	"1"
8	164	"1"
212	34	"1"
44	88	"1"
44	48	"1"
44	88	"1"
44	48	"1"
254	8	"1"
8	254	"1"
44	88	"1"
254	8	"1"
95	168	"1"
254	8	"1"
8	254	"1"
254	8	"1"
8	254	"1"
254	8	"1"
1	255	"1"
103	256	"1"
143	32	"1"
204	257	"1"
52	48	"1"
258	76	"1"
168	95	"1"
259	260	"1"
261	256	"1"
19	52	"1"
204	81	"1"
19	52	"1"
259	256	"1"
51	260	"1"
260	51	"1"
204	262	"1"
19	52	"1"
103	260	"1"
263	254	"1"
263	254	"1"
204	51	"1"
260	51	"1"
204	51	"1"
41	256	"1"
204	51	"1"
204	51	"1"
36	254	"1"
204	51	"1"
36	222	"1"
204	51	"1"
204	51	"1"
204	51	"1"
204	51	"1"
62	215	"1"
204	51	"1"
264	158	"1"
6	122	"1"
204	51	"1"
36	254	"1"
36	6	"1"
41	265	"1"
204	51	"1"
204	51	"1"
36	6	"1"
36	254	"1"
260	51	"1"
204	51	"1"
36	222	"1"
96	6	"1"
204	51	"1"
96	6	"1"
256	259	"1"
204	48	"1"
36	254	"1"
36	6	"1"
204	51	"1"
96	6	"1"
36	6	"1"
96	6	"1"
204	51	"1"
96	6	"1"
204	51	"1"
36	6	"1"
36	254	"1"
36	254	"1"
204	48	"1"
96	6	"1"
211	251	"1"
204	266	"1"
204	51	"1"
267	260	"1"
267	256	"1"
260	51	"1"
260	267	"1"
12	260	"1"
263	191	"1"
12	101	"1"
204	48	"1"
204	51	"1"
204	266	"1"
12	175	"1"
204	48	"1"
204	51	"1"
51	267	"1"
260	51	"1"
204	48	"1"
260	51	"1"
268	149	"1"
267	51	"1"
189	8	"1"
63	127	"1"
51	267	"1"
204	48	"1"
204	221	"1"
127	63	"1"
204	48	"1"
212	6	"1"
204	48	"1"
204	48	"1"
267	51	"1"
140	6	"1"
12	175	"1"
103	267	"1"
204	48	"1"
69	254	"1"
212	34	"1"
212	48	"1"
103	267	"1"
176	269	"1"
204	48	"1"
103	166	"1"
19	265	"1"
95	168	"1"
212	254	"1"
212	48	"1"
176	270	"1"
176	267	"1"
212	48	"1"
69	271	"1"
212	48	"1"
69	271	"1"
69	271	"1"
69	271	"1"
272	273	"1"
69	271	"1"
48	256	"1"
69	271	"1"
274	48	"1"
69	271	"1"
274	48	"1"
144	260	"1"
103	265	"1"
212	48	"1"
263	222	"1"
198	256	"1"
103	270	"1"
176	256	"1"
212	48	"1"
263	239	"1"
212	48	"1"
135	105	"1"
263	239	"1"
103	228	"1"
212	48	"1"
103	228	"1"
204	48	"1"
101	271	"1"
101	34	"1"
275	20	"1"
103	228	"1"
276	8	"1"
20	275	"1"
20	275	"1"
101	34	"1"
263	277	"1"
263	277	"1"
140	6	"1"
9	135	"1"
140	278	"1"
9	135	"1"
34	101	"1"
127	260	"1"
9	135	"1"
101	68	"1"
260	127	"1"
103	52	"1"
199	279	"1"
199	260	"1"
260	199	"1"
260	127	"1"
41	101	"1"
63	127	"1"
19	52	"1"
41	280	"1"
271	101	"1"
68	101	"1"
176	101	"1"
260	127	"1"
281	254	"1"
41	280	"1"
41	280	"1"
277	68	"1"
282	34	"1"
176	283	"1"
176	283	"1"
41	280	"1"
176	283	"1"
176	283	"1"
41	280	"1"
176	248	"1"
176	284	"1"
176	166	"1"
220	271	"1"
41	270	"1"
12	101	"1"
220	67	"1"
9	135	"1"
12	101	"1"
67	256	"1"
12	101	"1"
36	285	"1"
12	101	"1"
220	67	"1"
286	221	"1"
36	285	"1"
36	285	"1"
101	32	"1"
189	132	"1"
220	221	"1"
220	221	"1"
221	3	"1"
181	180	"1"
181	177	"1"
181	177	"1"
181	260	"1"
260	287	"1"
236	239	"1"
260	181	"1"
51	288	"1"
215	51	"1"
1	255	"1"
79	166	"1"
79	256	"1"
79	260	"1"
204	68	"1"
289	135	"1"
204	79	"1"
204	276	"1"
204	221	"1"
204	271	"1"
3	221	"1"
58	199	"1"
44	290	"1"
27	221	"1"
291	292	"1"
69	293	"1"
69	104	"1"
9	260	"1"
114	124	"1"
199	58	"1"
63	290	"1"
32	291	"1"
36	236	"1"
36	291	"1"
51	294	"1"
36	236	"1"
105	135	"1"
211	228	"1"
291	32	"1"
211	260	"1"
204	68	"1"
204	276	"1"
204	79	"1"
295	296	"1"
204	48	"1"
211	288	"1"
211	284	"1"
204	288	"1"
204	284	"1"
294	51	"1"
263	277	"1"
6	221	"1"
44	129	"1"
297	191	"1"
70	124	"1"
32	291	"1"
51	294	"1"
53	291	"1"
204	298	"1"
294	51	"1"
9	32	"1"
9	177	"1"
220	221	"1"
289	220	"1"
211	265	"1"
221	3	"1"
221	6	"1"
221	211	"1"
27	221	"1"
277	34	"1"
263	277	"1"
277	299	"1"
277	299	"1"
300	52	"1"
212	67	"1"
277	50	"1"
204	221	"1"
204	181	"1"
211	221	"1"
140	124	"1"
6	221	"1"
184	32	"1"
193	233	"1"
32	184	"1"
32	184	"1"
32	184	"1"
301	63	"1"
32	184	"1"
193	149	"1"
289	8	"1"
9	299	"1"
140	124	"1"
6	88	"1"
302	138	"1"
204	68	"1"
288	51	"1"
288	211	"1"
228	211	"1"
260	51	"1"
260	199	"1"
260	79	"1"
260	211	"1"
260	181	"1"
63	301	"1"
303	294	"1"
204	68	"1"
155	3	"1"
205	304	"1"
155	8	"1"
277	252	"1"
204	68	"1"
212	211	"1"
204	68	"1"
204	68	"1"
204	68	"1"
288	50	"1"
204	68	"1"
101	32	"1"
204	68	"1"
143	67	"1"
212	228	"1"
212	228	"1"
228	121	"1"
67	164	"1"
67	132	"1"
228	61	"1"
228	304	"1"
305	306	"1"
239	236	"1"
114	124	"1"
51	294	"1"
67	172	"1"
51	288	"1"
277	172	"1"
288	51	"1"
209	299	"1"
67	175	"1"
3	221	"1"
3	155	"1"
307	6	"1"
307	6	"1"
307	51	"1"
6	299	"1"
307	6	"1"
307	6	"1"
277	51	"1"
307	6	"1"
277	79	"1"
277	51	"1"
281	308	"1"
307	6	"1"
277	51	"1"
193	302	"1"
307	6	"1"
302	193	"1"
307	67	"1"
281	302	"1"
193	302	"1"
307	6	"1"
60	308	"1"
60	308	"1"
60	308	"1"
60	308	"1"
60	308	"1"
309	175	"1"
310	72	"1"
143	67	"1"
308	60	"1"
212	209	"1"
302	193	"1"
307	67	"1"
189	302	"1"
193	302	"1"
212	34	"1"
277	184	"1"
281	302	"1"
302	193	"1"
189	302	"1"
193	302	"1"
212	34	"1"
277	184	"1"
277	184	"1"
302	193	"1"
277	184	"1"
9	177	"1"
277	184	"1"
9	299	"1"
277	184	"1"
121	228	"1"
193	302	"1"
308	60	"1"
36	211	"1"
302	193	"1"
303	212	"1"
36	155	"1"
193	302	"1"
193	311	"1"
36	34	"1"
194	296	"1"
211	128	"1"
36	211	"1"
296	63	"1"
302	193	"1"
194	312	"1"
281	302	"1"
193	302	"1"
9	8	"1"
128	51	"1"
194	132	"1"
294	51	"1"
302	193	"1"
128	51	"1"
294	51	"1"
299	209	"1"
9	8	"1"
299	6	"1"
248	283	"1"
128	236	"1"
263	308	"1"
281	302	"1"
9	299	"1"
36	299	"1"
19	302	"1"
128	51	"1"
9	8	"1"
128	51	"1"
294	51	"1"
67	32	"1"
103	299	"1"
36	299	"1"
9	299	"1"
313	228	"1"
263	308	"1"
9	8	"1"
314	308	"1"
277	191	"1"
212	51	"1"
306	305	"1"
9	299	"1"
277	191	"1"
9	8	"1"
9	299	"1"
212	51	"1"
263	311	"1"
103	299	"1"
277	191	"1"
103	299	"1"
277	191	"1"
9	299	"1"
193	280	"1"
212	51	"1"
314	254	"1"
281	302	"1"
303	212	"1"
303	298	"1"
263	315	"1"
212	51	"1"
263	316	"1"
260	51	"1"
51	59	"1"
263	315	"1"
260	79	"1"
103	299	"1"
128	211	"1"
314	308	"1"
314	51	"1"
314	34	"1"
103	299	"1"
286	221	"1"
308	315	"1"
9	315	"1"
9	316	"1"
317	315	"1"
318	124	"1"
63	296	"1"
128	51	"1"
9	316	"1"
286	34	"1"
9	299	"1"
314	51	"1"
212	51	"1"
317	315	"1"
63	301	"1"
128	236	"1"
260	51	"1"
9	316	"1"
314	48	"1"
